city,city_code
WHALAN,2147
WHEATON,2148
WHIPHOLT,2149
WHITE BEAR LAKE,2150
WHITE BEAR TOWNSHIP,2151
WHITE EARTH,2152
WHITE ROCK,2153
WILDER,2154
WILDWOOD,2155
WILLERNIE,2156
WILLIAMS,2157
WILLMAR,2158
WILLOW RIVER,2159
WILMINGTON,2160
WILMONT,2161
WILSON,2162
WILSON LAKE,2163
WILTON,2164
WINDOM,2165
WINGER,2166
WINNEBAGO,2167
WINONA,2168
WINSTED,2169
WINTHROP,2170
WINTON,2171
WIRT,2172
WITOKA,2173
WOLF LAKE,2174
WOLVERTON,2175
WOOD LAKE,2176
WOODBURY,2177
WOODLAND,2178
WOODSTOCK,2179
WORTHINGTON,2180
WRENSHALL,2181
WRIGHT,2182
WRIGHTSTOWN,2183
WYANETT,2184
WYKOFF,2185
WYOMING,2186
YOUNG AMERICA,2187
YUCATAN,2188
ZEMPLE,2189
ZERKEL,2190
ZIM,2191
ZIMMERMAN,2192
ZUMBRO FALLS,2193
ZUMBROTA,2194
